Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1977,11,6.919,6.923,6.961,6.886,
1977,12,6.875,6.924,6.961,6.886,
1978,1,6.829,6.924,6.962,6.886,
1978,2,6.887,6.924,6.962,6.887,
1978,3,6.921,6.925,6.962,6.887,
1978,4,7.011,6.925,6.962,6.888,
1978,5,7.013,6.925,6.963,6.888,
1978,6,7.029,6.926,6.963,6.888,
1978,7,7.015,6.926,6.963,6.889,
1978,8,7.022,6.926,6.963,6.889,
1978,9,6.961,6.927,6.964,6.890,
1978,10,6.956,6.927,6.964,6.890,
1978,11,6.989,6.927,6.964,6.891,
1978,12,6.966,6.928,6.964,6.891,
1979,1,6.993,6.928,6.965,6.891,
1979,3,6.948,6.929,6.965,6.892,
1979,5,7.001,6.929,6.965,6.893,
1979,6,6.979,6.930,6.966,6.893,
1979,9,6.971,6.931,6.966,6.895,
1979,10,6.933,6.931,6.967,6.895,
1979,11,6.971,6.931,6.967,6.895,
1979,12,6.915,6.932,6.967,6.896,
1980,1,7.002,6.932,6.967,6.896,
1980,2,6.985,6.932,6.968,6.897,
1980,4,6.986,6.933,6.968,6.897,
1980,5,6.956,6.933,6.968,6.898,
1980,6,6.998,6.933,6.969,6.898,
1980,7,7.015,6.934,6.969,6.899,
1980,8,7.015,6.934,6.969,6.899,
1980,9,7.024,6.934,6.969,6.899,
1980,10,6.999,6.935,6.970,6.900,
1980,11,6.979,6.935,6.970,6.900,
1981,3,6.907,6.936,6.971,6.902,
1981,5,6.991,6.937,6.971,6.903,
1981,7,7.005,6.938,6.972,6.904,
1981,8,7.006,6.938,6.972,6.904,
1981,9,7.043,6.938,6.972,6.904,
1981,10,7.015,6.939,6.973,6.905,
1981,11,7.018,6.939,6.973,6.905,
1981,12,7.042,6.939,6.973,6.906,
1982,1,7.041,6.940,6.973,6.906,
1982,2,7.056,6.940,6.974,6.906,
1982,3,7.003,6.940,6.974,6.907,
1982,4,7.041,6.941,6.974,6.907,
1982,5,7.031,6.941,6.974,6.908,
1982,6,7.033,6.941,6.975,6.908,
1982,7,7.033,6.942,6.975,6.908,
1982,8,7.028,6.942,6.975,6.909,
1982,9,6.997,6.942,6.975,6.909,
1982,10,7.011,6.943,6.976,6.910,
1982,11,6.970,6.943,6.976,6.910,
1982,12,6.891,6.943,6.976,6.910,
1983,1,6.849,6.944,6.976,6.911,
1983,2,6.719,6.944,6.977,6.911,
1983,4,6.578,6.945,6.977,6.912,
1983,5,6.576,6.945,6.977,6.912,
1983,6,6.607,6.945,6.978,6.913,
1983,7,6.692,6.946,6.978,6.913,
1983,8,6.778,6.946,6.978,6.914,
1983,9,6.797,6.946,6.978,6.914,
1983,10,6.829,6.947,6.979,6.914,
1983,11,6.911,6.947,6.979,6.915,
1983,12,6.972,6.947,6.979,6.915,
1984,1,6.956,6.948,6.979,6.916,
1984,2,6.972,6.948,6.980,6.916,
1984,3,7.041,6.948,6.980,6.916,
1984,4,7.016,6.949,6.980,6.917,
1984,5,6.932,6.949,6.980,6.917,
1984,6,6.879,6.949,6.981,6.918,
1984,7,6.829,6.949,6.981,6.918,
1984,8,6.864,6.950,6.981,6.918,
1984,9,6.845,6.950,6.981,6.919,
1984,10,6.861,6.950,6.982,6.919,
1984,11,6.816,6.951,6.982,6.920,
1984,12,6.943,6.951,6.982,6.920,
1985,1,6.986,6.951,6.983,6.920,
1985,2,7.068,6.952,6.983,6.921,
1985,3,7.056,6.952,6.983,6.921,
1985,4,7.082,6.952,6.983,6.922,
1985,5,7.034,6.953,6.984,6.922,
1985,6,7.005,6.953,6.984,6.922,
1985,7,7.012,6.953,6.984,6.923,
1985,8,7.013,6.954,6.984,6.923,
1985,9,6.995,6.954,6.985,6.924,
1985,10,7.067,6.954,6.985,6.924,
1985,11,7.002,6.955,6.985,6.924,
1985,12,7.017,6.955,6.985,6.925,
1986,1,7.047,6.955,6.986,6.925,
1986,2,7.036,6.956,6.986,6.926,
1986,3,7.097,6.956,6.986,6.926,
1986,4,7.141,6.956,6.986,6.926,
1986,5,7.017,6.957,6.987,6.927,
1986,6,7.063,6.957,6.987,6.927,
1986,7,7.054,6.957,6.987,6.928,
1986,8,7.021,6.958,6.987,6.928,
1986,9,6.961,6.958,6.988,6.928,
1986,10,6.948,6.958,6.988,6.929,
1986,11,7.009,6.959,6.988,6.929,
1986,12,6.945,6.959,6.988,6.929,
1987,1,6.832,6.959,6.989,6.930,
1987,2,6.880,6.960,6.989,6.930,
1987,3,6.780,6.960,6.989,6.931,
1987,4,6.813,6.960,6.990,6.931,
1987,5,6.831,6.961,6.990,6.931,
1987,6,6.874,6.961,6.990,6.932,
1987,7,6.919,6.961,6.990,6.932,
1987,8,6.863,6.962,6.991,6.933,
1987,9,6.884,6.962,6.991,6.933,
1987,10,6.907,6.962,6.991,6.933,
1987,11,6.945,6.963,6.991,6.934,
1987,12,6.966,6.963,6.992,6.934,
1988,1,6.975,6.963,6.992,6.935,
1988,2,7.031,6.964,6.992,6.935,
1988,3,7.044,6.964,6.992,6.935,
1988,4,7.076,6.964,6.993,6.936,
1988,5,7.064,6.965,6.993,6.936,
1988,6,7.016,6.965,6.993,6.936,
1988,7,7.006,6.965,6.993,6.937,
1988,8,6.925,6.966,6.994,6.937,
1988,9,6.926,6.966,6.994,6.938,
1988,10,6.998,6.966,6.994,6.938,
1988,11,6.982,6.966,6.995,6.938,
1988,12,6.996,6.967,6.995,6.939,
1989,1,6.997,6.967,6.995,6.939,
1989,2,7.022,6.967,6.995,6.940,
1989,3,7.018,6.968,6.996,6.940,
1989,4,6.945,6.968,6.996,6.940,
1989,5,6.967,6.968,6.996,6.941,
1989,6,6.958,6.969,6.996,6.941,
1989,7,6.935,6.969,6.997,6.941,
1989,8,6.957,6.969,6.997,6.942,
1989,9,6.961,6.970,6.997,6.942,
1989,10,6.950,6.970,6.998,6.943,
1989,11,6.948,6.970,6.998,6.943,
1989,12,6.969,6.971,6.998,6.943,
1990,1,6.996,6.971,6.998,6.944,
1990,2,6.825,6.971,6.999,6.944,
1990,3,7.045,6.972,6.999,6.945,
1990,4,6.949,6.972,6.999,6.945,
1990,5,7.047,6.972,6.999,6.945,
1990,6,7.029,6.973,7.000,6.946,
1990,7,7.019,6.973,7.000,6.946,
1990,8,6.999,6.973,7.000,6.946,
1990,9,7.041,6.974,7.001,6.947,
1990,10,7.017,6.974,7.001,6.947,
1990,11,7.048,6.974,7.001,6.948,
1990,12,7.011,6.975,7.001,6.948,
1991,1,7.018,6.975,7.002,6.948,
1991,2,7.065,6.975,7.002,6.949,
1991,3,7.091,6.976,7.002,6.949,
1991,4,7.088,6.976,7.002,6.949,
1991,5,7.051,6.976,7.003,6.950,
1991,6,7.031,6.977,7.003,6.950,
1991,7,7.033,6.977,7.003,6.951,
1991,8,7.008,6.977,7.004,6.951,
1991,9,7.024,6.978,7.004,6.951,
1991,10,6.972,6.978,7.004,6.952,
1991,11,6.953,6.978,7.004,6.952,
1991,12,6.856,6.979,7.005,6.952,
1992,1,6.816,6.979,7.005,6.953,
1992,2,6.745,6.979,7.005,6.953,
1992,3,6.663,6.980,7.006,6.954,
1992,4,6.651,6.980,7.006,6.954,
1992,5,6.727,6.980,7.006,6.954,
1992,6,6.860,6.981,7.006,6.955,
1992,7,6.915,6.981,7.007,6.955,
1992,8,6.968,6.981,7.007,6.955,
1992,9,7.015,6.982,7.007,6.956,
1992,10,6.986,6.982,7.008,6.956,
1992,11,6.949,6.982,7.008,6.957,
1992,12,6.888,6.983,7.008,6.957,
1993,1,6.875,6.983,7.008,6.957,
1993,2,6.897,6.983,7.009,6.958,
1993,3,6.958,6.983,7.009,6.958,
1993,4,6.947,,,,
1993,5,6.862,6.963,6.989,6.938,
1993,6,6.912,6.964,6.989,6.938,
1993,7,6.951,6.964,6.989,6.939,
1993,8,6.924,6.964,6.989,6.939,
1993,11,6.943,6.965,6.990,6.940,
1994,1,7.016,6.966,6.991,6.941,
1994,2,7.051,6.966,6.991,6.941,
1994,3,7.030,6.966,6.991,6.941,
1994,4,6.986,6.967,6.992,6.942,
1994,5,7.005,6.967,6.992,6.942,
1994,6,7.010,6.967,6.992,6.943,
1994,7,6.985,6.968,6.993,6.943,
1994,9,6.960,6.968,6.993,6.944,
1994,10,6.939,6.969,6.993,6.944,
1994,11,6.979,6.969,6.994,6.944,
1994,12,6.989,6.969,6.994,6.945,
1995,1,6.922,6.970,6.994,6.945,
1995,2,6.916,6.970,6.995,6.945,
1995,3,7.027,6.970,6.995,6.946,
1995,4,7.087,6.971,6.995,6.946,
1995,5,7.071,6.971,6.996,6.947,
1995,6,7.059,6.971,6.996,6.947,
1995,7,7.043,6.972,6.996,6.947,
1995,8,6.987,6.972,6.996,6.948,
1995,9,7.042,6.972,6.997,6.948,
1995,10,6.997,6.973,6.997,6.948,
1995,11,7.021,6.973,6.997,6.949,
1995,12,6.939,6.973,6.998,6.949,
1996,1,7.013,6.974,6.998,6.949,
1996,2,7.093,6.974,6.998,6.950,
1996,3,7.075,6.974,6.999,6.950,
1996,4,7.031,6.975,6.999,6.950,
1996,5,7.013,6.975,6.999,6.951,
1996,6,7.007,6.975,6.999,6.951,
1996,7,7.000,6.976,7.000,6.951,
1996,8,7.019,6.976,7.000,6.952,
1996,9,6.983,6.976,7.000,6.952,
1996,10,6.945,6.977,7.001,6.953,
1996,11,6.961,6.977,7.001,6.953,
1996,12,6.936,6.977,7.001,6.953,
1997,1,6.923,6.978,7.002,6.954,
1997,2,7.006,6.978,7.002,6.954,
1997,3,7.055,6.978,7.002,6.954,
1997,4,7.005,6.979,7.002,6.955,
1997,5,7.010,6.979,7.003,6.955,
1997,6,6.940,6.979,7.003,6.955,
1997,7,6.936,6.980,7.003,6.956,
1997,8,6.949,6.980,7.004,6.956,
1997,9,6.968,6.980,7.004,6.956,
1997,10,6.958,6.981,7.004,6.957,
1997,11,6.876,6.981,7.005,6.957,
1997,12,6.823,6.981,7.005,6.957,
1998,1,6.768,6.981,7.005,6.958,
1998,2,6.628,6.982,7.006,6.958,
1998,3,6.623,6.982,7.006,6.958,
1998,4,6.621,6.982,7.006,6.959,
1998,5,6.702,6.983,7.007,6.959,
1998,6,6.793,6.983,7.007,6.959,
1998,7,6.790,6.983,7.007,6.960,
1998,8,6.811,6.984,7.007,6.960,
1998,9,6.741,6.984,7.008,6.960,
1998,10,6.837,6.984,7.008,6.961,
1998,11,6.945,6.985,7.008,6.961,
1998,12,6.968,6.985,7.009,6.961,
1999,1,7.028,6.985,7.009,6.962,
1999,2,7.042,6.986,7.009,6.962,
1999,3,7.015,6.986,7.010,6.962,
1999,4,6.939,6.986,7.010,6.963,
1999,5,6.964,6.987,7.010,6.963,
1999,6,6.915,6.987,7.011,6.963,
1999,7,6.997,6.987,7.011,6.964,
1999,8,7.020,6.988,7.011,6.964,
1999,9,6.987,6.988,7.012,6.964,
1999,10,6.999,6.988,7.012,6.965,
1999,11,7.022,6.989,7.012,6.965,
1999,12,7.040,6.989,7.013,6.965,
2000,1,7.043,6.989,7.013,6.966,
2000,2,7.039,6.990,7.013,6.966,
2000,3,7.081,6.990,7.014,6.966,
2000,4,7.039,6.990,7.014,6.967,
2000,5,6.962,6.991,7.014,6.967,
2000,6,6.967,6.991,7.015,6.967,
2000,7,6.959,6.991,7.015,6.968,
2000,8,7.016,6.992,7.015,6.968,
2000,9,6.997,6.992,7.015,6.968,
2000,10,7.048,6.992,7.016,6.969,
2000,11,7.034,6.993,7.016,6.969,
2000,12,7.055,6.993,7.016,6.969,
2001,1,7.034,6.993,7.017,6.970,
2001,2,7.091,6.994,7.017,6.970,
2001,3,7.089,6.994,7.017,6.970,
2001,4,7.023,6.994,7.018,6.971,
2001,5,6.962,6.995,7.018,6.971,
2001,6,6.955,6.995,7.018,6.971,
2001,7,6.940,6.995,7.019,6.972,
2001,8,7.011,6.996,7.019,6.972,
2001,9,6.996,6.996,7.019,6.972,
2001,10,6.973,6.996,7.020,6.973,
2001,11,7.005,6.997,7.020,6.973,
2001,12,6.970,6.997,7.020,6.973,
2002,1,7.000,6.997,7.021,6.974,
2002,2,7.088,6.998,7.021,6.974,
2002,3,7.095,6.998,7.021,6.974,
2002,4,7.079,6.998,7.022,6.975,
2002,5,7.035,6.998,7.022,6.975,
2002,6,7.046,6.999,7.022,6.975,
2002,7,7.034,6.999,7.023,6.975,
2002,8,7.039,6.999,7.023,6.976,
2002,9,7.009,7.000,7.023,6.976,
2002,10,6.998,7.000,7.024,6.976,
2002,11,7.038,7.000,7.024,6.977,
2002,12,7.005,7.001,7.024,6.977,
2003,1,6.961,7.001,7.025,6.977,
2003,2,6.938,7.001,7.025,6.978,
2003,3,7.005,7.002,7.026,6.978,
2003,4,7.073,7.002,7.026,6.978,
2003,5,7.107,7.002,7.026,6.979,
2003,6,7.041,7.003,7.027,6.979,
2003,7,7.029,7.003,7.027,6.979,
2003,8,7.037,7.003,7.027,6.980,
2003,9,7.038,7.004,7.028,6.980,
2003,10,6.951,7.004,7.028,6.980,
2003,11,6.989,7.004,7.028,6.980,
2003,12,7.004,7.005,7.029,6.981,
2004,1,6.967,7.005,7.029,6.981,
2004,2,6.993,7.005,7.029,6.981,
2004,3,7.064,7.006,7.030,6.982,
2004,4,7.050,7.006,7.030,6.982,
2004,5,7.049,7.006,7.030,6.982,
2004,6,7.030,7.007,7.031,6.983,
2004,7,7.034,7.007,7.031,6.983,
2004,8,7.013,7.007,7.031,6.983,
2004,9,7.022,7.008,7.032,6.984,
2004,10,7.020,7.008,7.032,6.984,
2004,11,7.024,7.008,7.032,6.984,
2004,12,6.994,7.009,7.033,6.984,
2005,1,6.994,7.009,7.033,6.985,
2005,2,6.919,7.009,7.033,6.985,
2005,3,6.816,7.010,7.034,6.985,
2005,4,7.025,7.010,7.034,6.986,
2005,5,7.023,7.010,7.035,6.986,
2005,6,7.035,7.011,7.035,6.986,
2005,7,7.034,7.011,7.035,6.987,
2005,8,7.061,7.011,7.036,6.987,
2005,9,7.053,7.012,7.036,6.987,
2005,10,7.047,7.012,7.036,6.987,
2005,11,7.056,7.012,7.037,6.988,
2005,12,7.079,7.013,7.037,6.988,
2006,1,7.119,7.013,7.037,6.988,
2006,2,7.159,7.013,7.038,6.989,
2006,3,7.079,7.014,7.038,6.989,
2006,4,7.015,7.014,7.038,6.989,
2006,5,7.013,7.014,7.039,6.990,
