Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
1611400,"Nawiliwili, HI",1955,2025,71,100,1.9,0.37,0.62,0.12,21.9544,-159.3561
1612340,"Honolulu, HI",1905,2025,121,100,1.57,0.19,0.51,0.06,21.3033,-157.8645
1612480,"Mokuoloe, HI",1957,2025,69,84,1.79,0.47,0.59,0.16,21.4331,-157.7900
1615680,"Kahului, HI",1947,2025,79,96,2.3,0.36,0.75,0.12,20.8949,-156.4690
1617433,"Kawaihae, HI",1988,2025,38,92,3.81,0.96,1.25,0.31,20.0366,-155.8294
1617760,"Hilo, HI",1927,2025,99,85,3.15,0.27,1.03,0.09,19.7303,-155.0556
1619910,"Midway Atoll, ",1947,2025,79,96,1.58,0.36,0.52,0.12,28.2117,-177.3600
1630000,"Apra Harbor, Guam, ",1993,2025,33,96,5.37,2.88,1.76,0.95,13.4434,144.6564
1770000,"Pago Pago, American Samoa, ",2009,2025,17,95,15.48,5.3,5.08,1.74,-14.2800,-170.6900
1820000,"Kwajalein, Marshall Islands, ",1946,2025,80,99,2.12,0.57,0.7,0.19,8.7317,167.7361
1890000,"Wake Island, Pacific Ocean, ",1950,2025,76,94,2.15,0.38,0.7,0.12,19.2906,166.6175
2695535,"Biological Station, Bermuda, ",1932,2025,94,89,2.21,0.32,0.72,0.1,32.3702,-64.6957
2695540,"St. Georges, Bermuda, ",1932,2025,94,85,2.19,0.34,0.72,0.11,32.3734,-64.7033
8410140,"Eastport, ME",1929,2025,97,97,2.33,0.16,0.76,0.05,44.9046,-66.9829
8411250,"Cutler, ME",1979,2010,32,94,2.34,0.61,0.77,0.2,44.6417,-67.2967
8413320,"Bar Harbor, ME",1947,2025,79,93,2.48,0.19,0.81,0.06,44.3922,-68.2043
8418150,"Portland, ME",1912,2025,114,100,1.97,0.13,0.65,0.04,43.6581,-70.2442
8419870,"Seavey Island, ME",1926,2025,100,76,2.21,0.18,0.73,0.06,43.0797,-70.7411
8423898,"Fort Point, NH",1926,2019,94,75,2.04,0.19,0.67,0.06,43.0717,-70.7117
8443970,"Boston, MA",1921,2025,105,100,2.97,0.14,0.97,0.05,42.3539,-71.0503
8447930,"Woods Hole, MA",1932,2025,94,96,3.15,0.17,1.04,0.06,41.5236,-70.6711
8449130,"Nantucket Island, MA",1965,2025,61,99,4.14,0.31,1.36,0.1,41.2850,-70.0967
8452660,"Newport, RI",1930,2025,96,99,2.98,0.15,0.98,0.05,41.5043,-71.3261
8454000,"Providence, RI",1938,2025,88,88,2.64,0.24,0.87,0.08,41.8072,-71.4007
8461490,"New London, CT",1938,2025,88,98,2.94,0.21,0.96,0.07,41.3717,-72.0956
8467150,"Bridgeport, CT",1964,2025,62,98,3.43,0.37,1.12,0.12,41.1758,-73.1840
8510560,"Montauk, NY",1947,2025,79,95,3.6,0.24,1.18,0.08,41.0483,-71.9594
