Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (°C),Season,Household Size
155,Heater,5.0,13:12,2023-07-09,39.3,Summer,5
465,Heater,5.0,20:28,2023-02-17,36.7,Winter,2
283,Heater,5.0,19:19,2023-02-07,18.2,Winter,1
164,Heater,5.0,01:36,2023-08-28,18.6,Summer,5
355,Heater,5.0,15:02,2023-12-04,-5.5,Fall,4
478,Air Conditioning,5.0,23:19,2023-06-13,-3.9,Spring,1
200,Air Conditioning,5.0,00:41,2023-07-17,35.7,Summer,5
451,Heater,5.0,02:31,2023-10-28,26.3,Fall,2
74,Air Conditioning,5.0,00:25,2023-05-24,0.9,Spring,4
269,Air Conditioning,5.0,21:17,2023-08-04,6.8,Summer,4
